data_aug,alpha_val,test_mean,test_std
shift4_blur3x3,0.5, , 
shift4_blur3x3,1.0, , ,
shift4_blur3x3,2.0, , 
shift4_cutout16,0.5, , 
shift4_cutout16,1.0, , ,
shift4_cutout16,2.0, , 
shift4_cutout24,0.5, , 
shift4_cutout24,1.0, , ,
shift4_cutout24,2.0, , 
shift4_jitter_0p2,0.5, , 
shift4_jitter_0p2,1.0, , ,
shift4_jitter_0p2,2.0, , 
shift4_jitter_0p4,0.5, , ,
shift4_jitter_0p4,1.0, , 
shift4_jitter_0p4,2.0, , ,
shift4_noise_0p02,0.5, , ,
shift4_noise_0p02,1.0, , 
shift4_noise_0p02,2.0, , 
shift4_paug_0p5,0.5, , , 
shift4_paug_0p5,1.0, , ,
shift4_paug_0p5,2.0, , , 
shift4_scale_0p8_1p2,0.5, , , 
shift4_scale_0p8_1p2,1.0, ,  
shift4_scale_0p8_1p2,2.0, , , 
shift4_scale_0p9_1p1,0.5 , , 
shift4_scale_0p9_1p1,1.0, ,  
shift4_scale_0p9_1p1,2.0, , ,  
shift_pad4,0.5, , , 
shift_pad4,1.0, ,  
shift_pad4,2.0, , , 
shift_pad8,0.5, , ,
shift_pad8,1.0, , 
shift_pad8,2.0, , ,
