variant,bc_train_mean,bc_test_mean,bc_gen_gap,iql_train_mean,iql_train_std_over_seeds,iql_test_mean,iql_test_std_over_seeds,iql_gen_gap_mean,iql_gen_gap_std_over_seeds,n_seeds,delta_test_mean,delta_train_mean,delta_gen_gap_mean
shift4_scale_0p8_1p2,3.35,2.35,-1.0,0.9333333333333332,0.5484827557301445,0.7833333333333333,0.12583057392117916,-0.15,0.653834841531101,3,-1.5666666666666669,-2.416666666666667,0.85
shift4_scale_0p9_1p1,1.9,2.15,0.25,1.3166666666666667,0.35118845842842455,1.4333333333333333,0.7182153808805082,0.11666666666666665,0.7147260547463855,3,-0.7166666666666666,-0.5833333333333333,-0.13333333333333336
shift4_noise_0p02,1.6,2.05,0.4499999999999997,0.65,0.09999999999999998,1.1166666666666667,0.47521924764610846,0.46666666666666673,0.43108390521258544,3,-0.9333333333333331,-0.9500000000000001,0.01666666666666705
