datasets_root,run_group,variant,ckpt,algo,train_steps,batch_size,seed,device,hidden,gamma,expectile,beta,exp_adv_max,target_tau,lr_actor,lr_q,lr_v,train_skipped,train_elapsed_sec,episodes,train_start,train_levels,test_start,test_levels,distribution_mode,eval_elapsed_sec,train_mean,train_std,train_episodes,test_mean,test_std,test_episodes,gen_gap
data/stage1_datasets_L40,compare_bc_iql_L40_top3_seed0_steps20k_ep200,shift4_noise_0p02,runs/compare_bc_iql_L40_top3_seed0_steps20k_ep200/iql_shift4_noise_0p02/iql_ckpt.pt,IQL,20000,256,0,auto,512,0.99,0.7,3.0,100.0,0.005,0.0003,0.0003,0.0003,True,0.0,200,0,40,40,500,hard,751.3348569869995,0.75,2.634,200,1.6,3.666,200,0.8500000000000001
data/stage1_datasets_L40,compare_bc_iql_L40_top3_seed0_steps20k_ep200,shift4_scale_0p9_1p1,runs/compare_bc_iql_L40_top3_seed0_steps20k_ep200/iql_shift4_scale_0p9_1p1/iql_ckpt.pt,IQL,20000,256,0,auto,512,0.99,0.7,3.0,100.0,0.005,0.0003,0.0003,0.0003,True,0.0,200,0,40,40,500,hard,131.63416504859924,1.65,3.712,200,1.15,3.19,200,-0.5
data/stage1_datasets_L40,compare_bc_iql_L40_top3_seed0_steps20k_ep200,shift4_scale_0p8_1p2,runs/compare_bc_iql_L40_top3_seed0_steps20k_ep200/iql_shift4_scale_0p8_1p2/iql_ckpt.pt,IQL,20000,256,0,auto,512,0.99,0.7,3.0,100.0,0.005,0.0003,0.0003,0.0003,True,0.0,200,0,40,40,500,hard,195.83408784866333,0.75,2.634,200,0.9,2.862,200,0.15000000000000002
